Rank,Municipality,County,pop 2017,Average residential tax bill 2018,Average change in residental tax bill since 2016,Effective property tax rate 2018,3-year average debt per capita,Median home price 2018,Change in median home price since 2016,Average days on market 2018,Crime rate per 1000 residents 2016,Violent crime rate per 1000 residents 2016,NJM Top High Schools rank 2018
1,Madison,Morris,"16,033","$13,091 ",3.80%,1.687,"$255,594 ","$700,000 ",12.00%,45,6.1,0.2,26
2,Summit,Union,"22,323","$17,919 ",2.00%,1.858,"$326,981 ","$987,583 ",21.70%,45,8.7,0.5,29
3,Bedminster,Somerset,"8,210","$6,182 ",0.70%,1.327,"$307,396 ","$314,000 ",-8.10%,52,4,0,19
4,Bernards,Somerset,"27,061","$12,557 ",1.80%,1.939,"$265,133 ","$599,950 ",2.60%,51,3.5,0,10
5,Chatham Township,Morris,"10,435","$14,740 ",7.20%,1.634,"$338,689 ","$960,000 ",12.00%,46,4.3,0.3,4
6,Harding,Morris,"3,873","$13,946 ",1.60%,1.019,"$574,451 ","$1,246,250 ",33.30%,95,7.4,0,26
7,Woodcliff Lake,Bergen,"5,903","$15,598 ",0.20%,2.075,"$331,741 ","$762,500 ",23.90%,54,4.1,0.5,56
8,Chatham Borough,Morris,"8,928","$13,758 ",6.60%,1.692,"$285,389 ","$777,000 ",13.00%,48,5.1,0.3,4
9,Mountainside,Union,"6,982","$12,325 ",2.40%,1.996,"$255,317 ","$601,500 ",1.10%,53,6,0,30
10,Closter,Bergen,"8,766","$15,565 ",2.90%,2.224,"$246,836 ","$805,000 ",26.60%,71,4.2,0.2,15
11,Mahwah,Bergen,"26,759","$8,655 ",4.50%,1.697,"$225,708 ","$440,000 ",12.80%,58,5.9,0.2,41
12,Fairfield,Essex,"7,614","$9,839 ",0.20%,1.955,"$387,998 ","$515,000 ",17.00%,56,23.4,0.7,58
13,Avon-by-the-Sea,Monmouth,"1,794","$9,826 ",1.80%,1.055,"$559,778 ","$872,500 ",16.30%,74,16.7,0,92
14,Roseland,Essex,"5,937","$10,492 ",1.90%,2.143,"$302,665 ","$545,000 ",4.00%,52,7.3,0.2,58
15,Lebanon Borough,Hunterdon,"1,669","$6,191 ",0.30%,2.26,"$169,087 ","$284,000 ",12.70%,66,6,0,34
16,Marlboro,Monmouth,"40,306","$10,995 ",2.30%,2.092,"$191,020 ","$520,000 ",23.80%,54,6.2,0.2,44
17,Pennington,Mercer,"2,589","$12,998 ",-0.80%,2.607,"$193,968 ","$530,075 ",14.00%,78,3.1,0,16
18,Westwood,Bergen,"11,326","$10,390 ",1.80%,2.42,"$179,135 ","$481,250 ",11.90%,42,4.5,0.2,95
19,Washington Township,Bergen,"9,393","$10,977 ",2.70%,2.133,"$189,339 ","$492,000 ",1.70%,44,1.8,0,95
20,Oceanport,Monmouth,"5,755","$9,898 ",3.20%,1.854,"$213,104 ","$485,000 ",14.10%,51,8.9,1,70
21,Fair Haven,Monmouth,"5,950","$15,046 ",4.10%,1.865,"$284,352 ","$790,000 ",23.90%,61,6.8,0.2,35
22,Alpine,Bergen,"1,890","$21,299 ",1.90%,0.683,"$1,216,738 ","$2,300,000 ",12.20%,170,5.2,0,28
23,Berkeley Heights,Union,"13,759","$12,767 ",3.70%,2.217,"$244,835 ","$602,500 ",7.60%,49,6.9,0.2,30
24,Point Pleasant,Ocean,"18,651","$7,685 ",3.90%,1.91,"$182,633 ","$375,000 ",12.40%,56,8.8,0.2,96
25,East Hanover,Morris,"11,234","$8,278 ",5.40%,1.736,"$295,310 ","$480,000 ",4.30%,54,11.9,0.2,59
26,Peapack and Gladstone,Somerset,"2,610","$13,859 ",-1.40%,1.869,"$280,715 ","$959,998 ",5.60%,72,10.4,0,19
27,Boonton,Morris,"4,350","$11,944 ",3.40%,2.121,"$214,484 ","$559,000 ",14.10%,56,4.6,1.6,12
28,North Hanover,Burlington,"7,540","$6,706 ",2.80%,2.127,"$56,424 ","$396,950 ",28.00%,76,4.2,0,110
29,Verona,Essex,"13,608","$11,473 ",3.60%,2.682,"$177,110 ","$439,000 ",5.80%,45,6.3,0.2,24
30,Jersey City,Hudson,"270,753","$6,445 ",-7.40%,1.615,"$108,381 ","$403,500 ",29.10%,46,22.4,5,165
31,Denville,Morris,"16,941","$9,955 ",3.40%,2.281,"$194,446 ","$420,000 ",7.70%,52,5,0.2,85
32,Randolph,Morris,"25,893","$12,518 ",1.70%,2.495,"$170,384 ","$525,000 ",6.60%,53,5.1,0.2,32
33,Essex Fells,Essex,"2,137","$20,054 ",7.00%,1.999,"$370,474 ","$999,000 ",26.90%,74,5.6,0,58
34,Morris Township,Morris,"22,489","$10,160 ",2.40%,1.789,"$237,825 ","$548,000 ",-1.50%,56,6.5,0.4,101
35,New Hanover,Burlington,"7,491","$4,458 ",1.00%,1.764,"$11,716 ","$231,500 ",5.60%,78,1,0.2,110
36,Cranford,Union,"24,439","$11,734 ",8.20%,2.324,"$183,057 ","$475,000 ",10.70%,37,7.7,0.3,31
37,Island Heights,Ocean,"1,667","$7,361 ",3.30%,1.91,"$205,629 ","$410,000 ",14.70%,49,4.8,0,213
38,Caldwell Borough,Essex,"8,085","$11,398 ",1.30%,2.406,"$139,564 ","$423,750 ",3.40%,43,4.9,0.8,80
39,Florham Park,Morris,"11,765","$9,946 ",6.90%,1.46,"$285,671 ","$575,000 ",4.70%,61,9,0.6,26
40,Warren,Somerset,"16,029","$14,786 ",2.70%,1.996,"$286,621 ","$780,000 ",5.10%,84,3.5,0.1,46
41,Spring Lake Heights,Monmouth,"4,618","$6,935 ",5.80%,1.431,"$265,771 ","$486,000 ",0.20%,66,3.4,0.2,92
42,Millburn,Essex,"20,488","$24,308 ",4.20%,1.793,"$498,798 ","$1,150,909 ",-2.30%,54,17.4,0.3,3
43,Point Pleasant Beach,Ocean,"4,544","$8,502 ",3.00%,1.446,"$461,071 ","$556,250 ",29.40%,80,23.9,0.7,52
44,Wall Township,Monmouth,"25,981","$9,033 ",3.60%,1.826,"$235,520 ","$505,000 ",16.80%,69,10.8,0.7,98
45,Lavallette,Ocean,"1,849","$6,815 ",3.90%,0.859,"$1,160,003 ","$752,500 ",7.50%,85,16.6,0.6,52
46,North Caldwell,Essex,"6,730","$16,083 ",5.40%,2.092,"$265,364 ","$675,000 ",6.30%,78,4.4,0,58
47,New Providence,Union,"13,308","$14,285 ",5.00%,2.423,"$201,726 ","$579,000 ",-1.20%,45,4.6,0.1,9
48,Ridgewood,Bergen,"25,692","$17,970 ",4.60%,2.24,"$257,339 ","$745,000 ",3.50%,40,8.3,0.3,36
49,Westfield,Union,"30,433","$16,914 ",3.90%,2.233,"$254,733 ","$700,000 ",1.60%,53,8.5,0.2,37
50,Hanover,Morris,"14,661","$7,568 ",4.60%,1.565,"$285,699 ","$432,500 ",-1.70%,47,13.1,0.8,47
51,West Caldwell,Essex,"11,021","$11,102 ",7.70%,2.278,"$223,651 ","$522,000 ",10.90%,46,7.4,0.4,80
52,Delaware Township,Hunterdon,"4,474","$10,664 ",2.50%,2.321,"$194,480 ","$460,000 ",25.30%,90,2.9,0.2,21
53,West Long Branch,Monmouth,"7,972","$9,575 ",4.90%,1.982,"$168,139 ","$438,000 ",15.30%,53,23.5,0.5,70
54,Wyckoff Township,Bergen,"17,322","$14,020 ",4.00%,1.801,"$267,273 ","$685,000 ",-1.10%,67,6.3,0.3,22
55,Monroe Township,Middlesex,"45,332","$7,679 ",5.50%,2.079,"$193,271 ","$330,000 ",17.40%,60,3.8,0.1,99
56,Lake Como,Monmouth,"1,717","$6,281 ",-2.60%,1.593,"$236,386 ","$387,500 ",10.70%,70,22.6,2.9,92
57,Sea Girt,Monmouth,"1,774","$12,913 ",2.50%,0.698,"$1,348,120 ","$1,952,000 ",50.20%,60,17.7,2.2,92
58,Ho-Ho-Kus,Bergen,"4,183","$16,273 ",4.40%,1.876,"$313,853 ","$755,000 ",-5.60%,78,3.4,0,27
59,Bethlehem Township,Hunterdon,"3,888","$10,083 ",-1.50%,2.685,"$143,744 ","$452,000 ",19.70%,69,2.3,0.3,34
60,Little Silver,Monmouth,"5,908","$13,284 ",3.50%,1.981,"$290,147 ","$635,000 ",0.60%,59,7.9,0.3,39
61,Glen Rock,Bergen,"12,045","$16,253 ",5.10%,2.643,"$213,284 ","$596,250 ",2.70%,44,6.3,0.1,2
62,River Edge,Bergen,"11,724","$13,141 ",3.80%,2.79,"$150,579 ","$499,000 ",16.70%,35,5.5,0.4,74
63,Long Hill,Morris,"8,711","$11,902 ",2.80%,2.232,"$199,768 ","$504,500 ",-3.40%,63,4.4,0,46
64,Norwood,Bergen,"5,895","$13,459 ",3.00%,2.269,"$217,419 ","$570,000 ",9.60%,89,2.4,0.2,51
65,Holmdel,Monmouth,"16,640","$13,478 ",2.10%,1.987,"$254,691 ","$658,000 ",11.50%,72,10.7,0.4,43
66,Manasquan,Monmouth,"5,903","$9,277 ",7.40%,1.393,"$358,333 ","$700,000 ",15.90%,72,20.5,0,92
67,Brielle,Monmouth,"4,724","$11,513 ",5.20%,1.653,"$318,540 ","$577,500 ",-3.80%,63,4.6,0,92
68,Franklin Lakes,Bergen,"11,255","$17,264 ",0.40%,1.529,"$392,554 ","$978,750 ",-0.80%,90,7.3,0.5,22
69,Livingston,Essex,"30,142","$15,933 ",5.30%,2.317,"$269,772 ","$585,000 ",2.70%,41,11.9,0.5,8
70,Cedar Grove,Essex,"12,703","$10,852 ",5.00%,2.239,"$180,922 ","$490,000 ",14.00%,42,8.7,0.2,172
71,Mendham Township,Morris,"5,845","$19,195 ",2.40%,2.048,"$331,308 ","$839,000 ",-10.70%,102,3.4,0,7
72,Allendale,Bergen,"6,906","$15,136 ",1.50%,2.186,"$254,563 ","$600,000 ",-4.30%,74,5.6,0.1,27
73,Montvale,Bergen,"8,724","$12,165 ",4.50%,2.071,"$261,842 ","$564,360 ",-5.10%,52,4.5,0.2,56
74,Moorestown,Burlington,"20,540","$11,241 ",-3.90%,2.158,"$228,256 ","$458,008 ",-10.20%,66,14.9,0.4,22
75,Parsippany-Troy Hills,Morris,"53,201","$8,942 ",4.50%,2.408,"$161,869 ","$415,000 ",5.10%,46,7.8,0.7,82
76,Colts Neck,Monmouth,"9,968","$15,121 ",3.90%,1.749,"$305,412 ","$710,000 ",8.50%,86,6.7,0.5,75
77,Bridgewater,Somerset,"45,414","$9,144 ",4.50%,2.013,"$204,008 ","$430,000 ",2.40%,55,9.4,0.3,63
78,Saddle River,Bergen,"3,262","$17,146 ",-0.40%,0.924,"$757,247 ","$1,100,000 ",-24.90%,91,6.5,0.3,30
79,Midland Park,Bergen,"7,384","$11,792 ",4.60%,2.55,"$167,810 ","$480,000 ",13.00%,45,5.2,0.5,119
80,East Amwell,Hunterdon,"3,925","$9,086 ",2.10%,2.153,"$187,358 ","$405,000 ",-3.60%,86,5.9,0,21
81,Hillsdale,Bergen,"10,581","$13,187 ",3.50%,2.602,"$172,355 ","$524,000 ",2.70%,49,3.6,0.3,78
82,Scotch Plains,Union,"24,630","$13,419 ",4.80%,2.539,"$171,889 ","$489,950 ",7.40%,44,6.8,0.4,76
83,Cresskill,Bergen,"8,935","$16,722 ",6.40%,2.293,"$254,680 ","$687,500 ",13.00%,80,3.5,0.2,40
84,Hasbrouck Heights,Bergen,"12,277","$10,922 ",1.90%,2.74,"$149,525 ","$465,000 ",17.60%,51,6.5,0.6,174
85,Secaucus,Hudson,"20,215","$6,258 ",-6.40%,2.042,"$243,951 ","$405,000 ",4.70%,63,22.8,2.1,139
86,Princeton,Mercer,"31,822","$19,388 ",5.80%,2.032,"$251,839 ","$815,000 ",5.20%,58,17.9,0.8,20
87,Ridgefield,Bergen,"11,435","$9,454 ",8.60%,1.933,"$166,431 ","$493,250 ",8.40%,66,6.1,0.4,157
88,Asbury Park,Monmouth,"15,767","$5,291 ",2.70%,1.821,"$99,812 ","$328,000 ",19.30%,54,59.9,14.1,145
89,Park Ridge,Bergen,"8,944","$13,109 ",7.00%,2.438,"$204,534 ","$542,000 ",8.00%,52,2.6,0.4,55
90,Raritan Township,Hunterdon,"22,106","$9,971 ",4.00%,2.418,"$187,752 ","$375,000 ",1.40%,60,5.2,0.1,21
91,South Brunswick,Middlesex,"46,561","$9,365 ",2.10%,2.093,"$194,275 ","$390,000 ",1.30%,68,8.8,0.4,65
92,Ramsey,Bergen,"15,242","$12,538 ",5.10%,2.274,"$234,238 ","$532,500 ",8.90%,55,9.3,0.8,33
93,Carlstadt,Bergen,"6,314","$7,077 ",0.70%,1.911,"$415,508 ","$405,000 ",11.00%,43,22.3,1.8,228
94,Freehold Township,Monmouth,"35,053","$8,881 ",2.20%,2.14,"$186,219 ","$385,000 ",28.40%,51,18.3,1.3,83
95,Franklin Township,Somerset,"66,734","$7,344 ",2.20%,2.21,"$149,109 ","$319,700 ",12.40%,56,12.9,1,117
96,Tenafly,Bergen,"14,900","$20,717 ",4.30%,2.211,"$304,417 ","$764,500 ",1.90%,70,4.8,0.3,28
97,Pequannock,Morris,"15,410","$8,596 ",7.30%,2.062,"$175,628 ","$386,000 ",-2.00%,55,7.2,0.2,73
98,Mount Arlington,Morris,"5,868","$7,569 ",2.00%,2.379,"$134,576 ","$323,000 ",13.30%,63,6.4,0.2,142
99,Cranbury,Middlesex,"3,944","$11,960 ",2.40%,1.933,"$400,904 ","$710,000 ",-1.40%,70,10.1,0.8,20
101,Plainsboro,Middlesex,"23,504","$10,122 ",7.60%,2.288,"$192,534 ","$375,000 ",5.90%,56,6.3,0.4,15
102,Sandyston Township,Sussex,"1,856","$5,609 ",1.50%,2.341,"$132,313 ","$288,000 ",51.60%,81,5.8,0.5,108
103,Tewksbury,Hunterdon,"5,844","$14,367 ",4.90%,2.104,"$282,430 ","$636,250 ",20.00%,101,4.8,0,61
104,Hoboken,Hudson,"55,131","$8,235 ",2.30%,1.082,"$295,550 ","$745,000 ",14.60%,36,21,2.3,260
105,Chester Township,Morris,"7,915","$15,602 ",1.00%,2.243,"$240,560 ","$675,000 ",-8.50%,75,4.4,0.5,7
106,Bernardsville,Somerset,"7,815","$15,362 ",2.40%,1.952,"$293,345 ","$604,000 ",-2.60%,81,8.1,0.3,19
107,Montgomery,Somerset,"23,584","$15,112 ",3.30%,2.485,"$197,013 ","$609,500 ",5.40%,88,4.2,0.2,11
108,Edgewater,Bergen,"12,368","$8,565 ",4.70%,1.414,"$301,093 ","$524,000 ",-3.70%,92,12,0.3,62
109,Rutherford,Bergen,"18,782","$11,621 ",3.60%,2.447,"$156,174 ","$468,500 ",10.20%,61,11.6,0.7,100
110,Bergenfield,Bergen,"27,927","$10,549 ",3.70%,3.024,"$102,898 ","$375,000 ",14.30%,54,3.9,0.3,103
111,Oakland,Bergen,"13,224","$11,711 ",4.60%,2.472,"$185,736 ","$470,000 ",10.60%,69,6.1,0.6,22
112,Belmar,Monmouth,"5,682","$6,888 ",4.30%,1.239,"$296,895 ","$551,000 ",7.10%,64,33.6,2.8,92
113,Leonia,Bergen,"9,262","$12,790 ",6.20%,2.568,"$151,163 ","$497,500 ",4.70%,61,5.3,0.2,62
114,Montville,Morris,"21,681","$12,511 ",5.00%,2.11,"$231,389 ","$562,501 ",0.90%,56,12,0.5,18
115,Chester Borough,Morris,"1,665","$12,977 ",1.60%,2.697,"$234,830 ","$580,000 ",5.60%,89,9,0,7
116,Green Brook,Somerset,"7,212","$11,956 ",3.20%,2.537,"$195,900 ","$415,000 ",7.80%,67,10.7,0.4,46
117,Wharton,Morris,"6,571","$7,573 ",4.00%,2.883,"$103,764 ","$317,500 ",38.00%,58,13.8,0.3,69
118,River Vale,Bergen,"10,223","$14,939 ",4.30%,2.533,"$201,519 ","$563,750 ",2.50%,64,2.6,0,78
119,Northvale,Bergen,"4,985","$11,132 ",6.70%,2.483,"$193,030 ","$448,900 ",1.00%,67,1,0,51
120,Weehawken,Hudson,"15,342","$10,839 ",-14.80%,1.785,"$212,259 ","$760,000 ",3.00%,69,21.6,1.1,143
121,Alexandria Township,Hunterdon,"4,805","$9,920 ",1.10%,2.365,"$162,160 ","$435,000 ",-1.70%,75,3.5,0,68
122,Hopewell Borough,Mercer,"1,948","$11,547 ",4.30%,2.687,"$168,764 ","$400,000 ",6.50%,69,3.1,0.5,16
123,Spring Lake Borough,Monmouth,"2,962","$12,610 ",6.40%,0.621,"$1,379,606 ","$2,499,000 ",53.70%,104,18.2,0.3,92
124,Harrington Park,Bergen,"4,846","$15,262 ",4.10%,2.553,"$205,138 ","$597,500 ",1.30%,66,2.1,0.2,51
125,Garwood,Union,"4,408","$10,126 ",5.30%,2.501,"$160,947 ","$402,500 ",5.90%,29,15.2,0.2,123
126,Millstone,Monmouth,"10,517","$11,470 ",1.50%,2.158,"$178,493 ","$585,000 ",8.30%,79,7.3,0.5,124
127,Old Tappan,Bergen,"6,042","$16,726 ",4.10%,1.988,"$290,878 ","$680,000 ",-9.60%,84,4.7,0.2,51
128,Hazlet,Monmouth,"20,015","$8,085 ",6.40%,2.402,"$126,933 ","$360,000 ",12.80%,43,10.8,0.5,109
129,Clinton,Hunterdon,"12,907","$10,413 ",3.50%,2.465,"$176,067 ","$419,000 ",7.40%,73,3.8,0.3,34
130,Hillsborough,Somerset,"40,003","$9,279 ",4.60%,2.271,"$158,871 ","$369,900 ",-1.60%,50,7,0.4,50
131,Howell,Monmouth,"52,476","$7,883 ",5.40%,2.197,"$135,834 ","$357,000 ",12.80%,55,8.3,0.9,91
132,Haworth,Bergen,"3,497","$17,780 ",0.10%,2.458,"$264,080 ","$645,000 ",0.80%,90,4.9,0.6,15
133,West Windsor Township,Mercer,"28,491","$14,374 ",4.20%,2.449,"$232,103 ","$615,000 ",4.00%,49,16.7,0.5,15
134,Middletown,Monmouth,"65,603","$9,232 ",6.60%,2.158,"$165,585 ","$394,500 ",3.80%,54,7.2,0.3,99
135,Holland Township,Hunterdon,"5,151","$7,619 ",1.70%,2.46,"$129,844 ","$276,000 ",-4.50%,64,4.1,0.2,51
136,Pine Beach,Ocean,"2,168","$6,339 ",6.40%,2.086,"$129,438 ","$255,000 ",6.30%,59,3.7,0,164
137,Emerson,Bergen,"7,739","$11,958 ",5.00%,2.524,"$166,444 ","$481,000 ",1.10%,53,6,0.3,77
138,Haddonfield,Camden,"11,435","$15,182 ",6.40%,3.002,"$200,061 ","$540,000 ",23.40%,63,16.9,0.2,6
139,Robbinsville,Mercer,"14,757","$11,013 ",2.60%,2.836,"$176,958 ","$372,000 ",12.90%,55,4.9,0.5,87
140,East Rutherford,Bergen,"9,928","$6,359 ",3.30%,1.827,"$217,271 ","$350,000 ",7.40%,49,17.5,1.9,228
141,Tinton Falls,Monmouth,"17,789","$6,659 ",0.40%,1.891,"$181,325 ","$281,000 ",-0.50%,50,15.7,0.5,189
142,New Milford,Bergen,"16,868","$11,269 ",4.50%,2.966,"$109,950 ","$400,000 ",7.10%,43,2.6,0.1,148
143,Readington,Hunterdon,"15,963","$10,649 ",5.50%,2.381,"$200,772 ","$423,500 ",7.80%,62,6.3,0.5,21
144,Manalapan,Monmouth,"40,013","$8,652 ",6.00%,1.996,"$170,549 ","$420,000 ",2.70%,51,6.7,0.7,71
145,Dumont,Bergen,"17,998","$11,040 ",4.50%,3.027,"$111,860 ","$379,000 ",8.30%,50,5.4,0.2,94
146,Raritan,Somerset,"8,011","$7,846 ",4.90%,2.283,"$158,880 ","$328,200 ",4.20%,51,20.4,0.5,63
147,Mendham Borough,Morris,"4,978","$15,598 ",4.60%,2.063,"$275,507 ","$582,550 ",-8.30%,87,3.8,0.4,7
148,Mount Laurel,Burlington,"41,662","$6,398 ",3.50%,2.422,"$151,980 ","$228,000 ",7.10%,45,15.9,0.7,113
149,Franklin Township,Hunterdon,"3,232","$10,839 ",4.90%,2.399,"$174,124 ","$482,500 ",16.30%,93,5.3,0.3,34
151,Moonachie,Bergen,"2,800","$8,180 ",5.20%,2.318,"$288,000 ","$313,500 ",5.60%,59,15.8,0,160
152,Watchung,Somerset,"5,985","$14,145 ",-1.40%,1.991,"$294,814 ","$597,000 ",-10.20%,86,69.6,0.2,46
153,Palisades Park,Bergen,"20,988","$9,592 ",5.60%,1.581,"$138,300 ","$588,000 ",5.00%,69,6.3,0.9,185
154,Mountain Lakes,Morris,"4,345","$20,471 ",3.50%,2.32,"$308,736 ","$751,000 ",-10.10%,78,11,0,12
155,Morris Plains,Morris,"5,581","$9,940 ",6.10%,2.087,"$270,844 ","$478,000 ",4.40%,43,14.2,1.1,101
156,Waldwick Borough,Bergen,"10,092","$11,187 ",3.50%,2.623,"$159,949 ","$421,000 ",1.40%,53,6,0.2,121
157,Wood-Ridge,Bergen,"9,018","$9,386 ",6.40%,2.535,"$146,140 ","$407,500 ",16.40%,66,7.6,0.5,160
158,Paramus,Bergen,"27,032","$9,643 ",6.00%,1.4,"$369,616 ","$607,000 ",2.00%,58,45.3,1.4,67
159,Rumson,Monmouth,"6,864","$20,602 ",7.60%,1.456,"$519,869 ","$1,200,000 ",-0.80%,85,5.8,0.3,35
160,Fanwood,Union,"7,808","$12,390 ",5.70%,2.715,"$155,867 ","$459,000 ",4.30%,33,7.5,0.4,76
161,Ocean Township,Monmouth,"26,988","$9,750 ",7.60%,2.075,"$184,098 ","$440,000 ",15.80%,52,24,1.3,107
162,Demarest,Bergen,"5,032","$19,797 ",7.50%,2.117,"$315,474 ","$757,500 ",-5.30%,87,4.4,0.2,15
163,Lebanon Township,Hunterdon,"6,101","$9,033 ",6.90%,2.392,"$149,756 ","$443,500 ",11.00%,77,5.2,0.3,61
164,Fredon,Sussex,"3,196","$9,746 ",0.40%,2.896,"$134,619 ","$370,000 ",12.10%,97,3.7,0,108
165,Flemington,Hunterdon,"4,621","$8,119 ",1.00%,3.066,"$97,413 ","$280,000 ",15.50%,59,15.7,1.7,21
166,White Township,Warren,"4,747","$5,344 ",-5.80%,2.105,"$116,914 ","$244,000 ",7.00%,74,5.5,0.2,208
167,East Newark,Hudson,"2,735","$6,608 ",-7.10%,2.43,"$58,367 ","$314,500 ",5.60%,66,12.8,0,276
168,Clark,Union,"16,109","$10,511 ",6.50%,2.398,"$165,993 ","$420,000 ",3.70%,45,11.8,0.3,123
169,Old Bridge,Middlesex,"67,032","$7,543 ",5.80%,2.077,"$117,786 ","$331,000 ",3.40%,54,10.4,0.4,152
