Rank,Municipality,County,pop 2017,Average residential tax bill 2018,Average change in residental tax bill since 2016,Effective property tax rate 2018,3-year average debt per capita,Median home price 2018,Change in median home price since 2016,Average days on market 2018,Crime rate per 1000 residents 2016,Violent crime rate per 1000 residents 2016,NJM Top High Schools rank 2018
170,Rockaway Township,Morris,"25,494","$9,775 ",1.80%,2.709,"$160,864 ","$340,000 ",4.90%,52,16,0.5,77
171,Washington,Morris,"18,726","$11,209 ",5.70%,2.483,"$154,427 ","$459,000 ",3.50%,61,2.9,0.9,14
172,Ocean City,Cape May,"11,206","$5,755 ",6.90%,0.906,"$1,090,050 ","$520,000 ",11.10%,86,33.3,1.2,105
173,Piscataway,Middlesex,"57,887","$7,454 ",3.30%,2.421,"$124,859 ","$311,500 ",9.10%,59,12.1,0.8,158
174,Frankford Township,Sussex,"5,348","$6,823 ",-0.30%,2.345,"$150,121 ","$317,500 ",13.40%,85,8.1,1.1,112
175,Fort Lee,Bergen,"37,907","$10,655 ",3.40%,2.231,"$177,451 ","$500,000 ",0.00%,88,8.2,1.1,75
176,Saddle Brook,Bergen,"14,169","$8,540 ",0.70%,2.445,"$167,218 ","$345,000 ",1.50%,53,17.9,0.1,227
177,Jackson,Ocean,"57,073","$7,466 ",4.60%,2.065,"$128,545 ","$350,000 ",2.00%,67,8.6,0.2,136
178,Kingwood,Hunterdon,"3,752","$8,423 ",5.50%,2.257,"$163,393 ","$379,400 ",-5.20%,66,2.9,0.3,68
179,Manchester Township,Ocean,"43,395","$4,093 ",2.30%,2.187,"$87,611 ","$179,000 ",16.60%,67,5.5,0.6,211
180,Shrewsbury,Monmouth,"4,122","$11,885 ",8.60%,2.128,"$285,108 ","$517,500 ",5.00%,63,14.3,0.2,114
181,Fair Lawn,Bergen,"33,710","$10,875 ",6.30%,2.764,"$146,522 ","$415,000 ",9.20%,50,13.8,0.7,89
182,Bradley Beach,Monmouth,"4,225","$7,556 ",4.40%,1.34,"$295,439 ","$484,500 ",-11.10%,54,19.9,1.4,164
183,Branchburg,Somerset,"14,712","$9,419 ",2.20%,2.139,"$213,440 ","$415,500 ",-8.20%,66,5,0.5,133
184,Toms River,Ocean,"93,017","$6,232 ",5.30%,1.904,"$166,093 ","$315,000 ",14.10%,68,21,0.7,164
185,Mine Hill,Morris,"3,593","$7,297 ",3.70%,2.585,"$124,192 ","$305,000 ",21.30%,61,8.7,0.3,199
186,Union Township,Hunterdon,"5,543","$8,412 ",5.00%,2.329,"$149,460 ","$329,250 ",-7.30%,67,3.5,0.4,34
187,South Plainfield,Middlesex,"24,435","$7,266 ",2.70%,2.184,"$155,525 ","$305,000 ",3.20%,66,18.1,1.4,135
188,Highlands,Monmouth,"4,821","$6,562 ",2.30%,2.62,"$133,107 ","$271,000 ",14.80%,70,6.4,1.6,145
189,Springfield Township,Burlington,"3,295","$8,202 ",1.00%,2.695,"$127,728 ","$409,500 ",26.00%,84,8.9,1.2,110
190,Roxbury,Morris,"23,342","$8,984 ",2.60%,2.651,"$140,129 ","$332,500 ",6.00%,58,9.6,0.3,142
191,Kinnelon,Morris,"10,213","$14,763 ",3.40%,2.533,"$209,729 ","$585,000 ",0.90%,81,4.8,0.5,48
192,Rochelle Park,Bergen,"5,705","$8,117 ",3.70%,2.446,"$169,038 ","$384,000 ",16.40%,51,17.9,0.7,258
193,Wallington,Bergen,"11,781","$9,203 ",3.70%,2.658,"$88,304 ","$379,000 ",41.40%,50,13.3,0.7,238
194,Edison,Middlesex,"102,450","$9,435 ",5.00%,2.271,"$161,382 ","$369,000 ",2.50%,59,11.8,1,108
195,Red Bank,Monmouth,"12,150","$8,006 ",7.40%,2.109,"$180,877 ","$370,000 ",-8.60%,52,19,2,39
196,Upper Township,Cape May,"11,893","$4,916 ",4.30%,1.706,"$161,003 ","$295,000 ",-1.50%,97,8.4,0.6,105
197,Glen Ridge,Essex,"7,704","$20,209 ",6.10%,2.992,"$221,135 ","$685,000 ",2.60%,35,21.1,0.5,23
198,West Amwell,Hunterdon,"2,767","$9,461 ",0.20%,2.291,"$181,844 ","$452,000 ",5.60%,66,12.6,0.7,141
199,Springfield,Union,"17,726","$11,475 ",5.70%,2.922,"$149,341 ","$435,000 ",17.60%,48,10.8,0.9,122
201,Beachwood,Ocean,"11,248","$4,875 ",2.90%,2.19,"$78,610 ","$227,813 ",1.70%,60,11.9,0.7,164
202,Rockaway Borough,Morris,"6,474","$9,196 ",7.50%,2.805,"$131,245 ","$319,900 ",11.30%,43,13.9,0.6,69
203,Atlantic Highlands,Monmouth,"4,311","$9,244 ",4.20%,2.129,"$194,465 ","$380,000 ",-9.50%,54,8.8,0.7,145
204,Morristown,Morris,"19,037","$10,092 ",7.20%,2.044,"$157,738 ","$418,250 ",0.30%,41,20.3,3.3,101
205,Riverdale,Morris,"4,247","$5,914 ",6.60%,1.702,"$212,416 ","$300,000 ",9.10%,54,31.8,1.2,162
206,Montclair,Essex,"39,227","$19,370 ",5.90%,2.959,"$188,327 ","$760,000 ",28.80%,40,16.5,1.3,115
207,Maywood,Bergen,"9,860","$9,735 ",5.30%,2.566,"$140,318 ","$407,500 ",11.60%,46,8.4,0.5,258
208,Ocean Township,Ocean,"9,049","$5,460 ",7.30%,1.866,"$156,032 ","$311,000 ",-0.60%,79,7.1,0,164
209,Hopewell Township,Mercer,"18,265","$13,293 ",4.90%,2.549,"$231,264 ","$420,000 ",-3.40%,84,5.6,0.2,16
210,Cinnaminson,Burlington,"16,495","$7,671 ",2.30%,2.943,"$107,969 ","$265,000 ",11.50%,49,19.9,1.5,118
211,Glen Gardner,Hunterdon,"1,924","$5,894 ",5.40%,2.806,"$82,602 ","$142,000 ",-2.70%,42,4.8,0,61
212,Long Beach,Ocean,"3,065","$9,146 ",-0.20%,0.897,"$2,786,820 ","$857,500 ",5.20%,106,24.1,0.7,164
213,Upper Freehold,Monmouth,"6,975","$11,496 ",4.50%,2.382,"$181,100 ","$510,000 ",8.50%,101,4.6,0,124
214,Highland Park,Middlesex,"14,164","$11,702 ",5.10%,3.399,"$93,801 ","$346,500 ",14.40%,68,12.5,0.1,86
215,Monmouth Beach,Monmouth,"3,236","$8,648 ",5.70%,1.2,"$452,872 ","$517,500 ",-7.60%,67,16.7,2.5,70
216,Mount Olive,Morris,"29,253","$10,107 ",3.00%,3.055,"$110,428 ","$349,500 ",3.40%,54,5.7,0.3,93
217,Metuchen,Middlesex,"14,349","$10,829 ",5.80%,2.58,"$161,179 ","$381,000 ",-4.80%,55,13.2,0.4,64
218,Lyndhurst,Bergen,"22,426","$9,310 ",6.80%,2.373,"$144,386 ","$363,750 ",4.00%,64,11.6,0.9,131
219,Englewood Cliffs,Bergen,"5,453","$13,606 ",8.90%,1.006,"$630,110 ","$1,190,000 ",4.80%,96,8.3,0.2,192
220,East Brunswick,Middlesex,"48,840","$10,166 ",4.10%,2.739,"$153,736 ","$360,000 ",2.90%,66,15.4,0.5,42
221,Lower Township,Cape May,"21,766","$3,911 ",2.00%,1.574,"$179,135 ","$231,250 ",4.20%,85,18.6,0.9,191
222,North Arlington,Bergen,"16,009","$9,767 ",-0.70%,2.91,"$102,720 ","$359,500 ",9.80%,60,10.4,0.6,224
223,Plumsted,Ocean,"8,543","$6,713 ",3.70%,2.177,"$101,266 ","$336,000 ",6.30%,93,4.2,0.8,169
224,North Haledon,Passaic,"8,570","$10,847 ",2.30%,2.517,"$156,703 ","$445,000 ",7.20%,69,5.8,0.2,297
225,Lawrence Township,Mercer,"33,161","$7,941 ",1.90%,2.601,"$149,119 ","$285,000 ",5.60%,69,21.3,1.3,102
226,Brigantine,Atlantic,"8,963","$6,343 ",-0.70%,1.725,"$366,864 ","$287,000 ",3.40%,96,17.6,0.1,229
227,Bogota,Bergen,"8,567","$10,285 ",4.30%,3.412,"$87,042 ","$342,500 ",10.50%,63,5.7,0.1,186
228,Sea Isle City,Cape May,"2,068","$4,721 ",6.90%,0.667,"$2,339,737 ","$670,000 ",3.10%,90,118.8,1.4,105
229,Wayne,Passaic,"55,072","$12,559 ",2.70%,2.874,"$182,718 ","$436,000 ",2.60%,66,21.6,0.3,86
230,Brick Township,Ocean,"75,516","$6,488 ",3.60%,2.118,"$143,594 ","$270,000 ",8.00%,61,15.1,1,197
231,Stafford Township,Ocean,"27,346","$6,328 ",5.70%,2.203,"$159,661 ","$275,000 ",6.80%,69,8.1,0.8,164
232,Frelinghuysen Township,Warren,"2,200","$7,944 ",3.60%,2.565,"$126,914 ","$285,000 ",5.60%,95,1.8,0,150
233,Keyport,Monmouth,"7,085","$6,744 ",5.00%,2.589,"$99,986 ","$279,000 ",11.60%,51,16.5,3.2,141
234,Middlesex,Middlesex,"13,867","$8,289 ",6.50%,2.957,"$107,975 ","$276,500 ",6.90%,54,6.9,0.4,151
235,Shamong,Burlington,"6,433","$8,449 ",0.20%,2.595,"$109,226 ","$344,450 ",4.40%,78,5,0.8,123
236,Southampton,Burlington,"10,205","$5,384 ",1.90%,2.488,"$110,099 ","$165,000 ",-0.80%,53,9.1,1,123
237,East Windsor,Mercer,"27,725","$8,314 ",1.90%,3.154,"$102,337 ","$271,750 ",4.30%,46,8.9,0.6,128
238,Eatontown,Monmouth,"12,376","$7,725 ",7.40%,2.189,"$178,112 ","$362,450 ",13.30%,47,35.9,3.2,189
239,Cliffside Park,Bergen,"25,142","$8,666 ",4.60%,2.096,"$127,132 ","$428,750 ",11.40%,70,8.4,1.1,284
240,Eastampton,Burlington,"5,953","$6,757 ",2.20%,2.902,"$76,586 ","$270,000 ",17.40%,55,11.8,1,202
241,Lambertville,Hunterdon,"3,824","$7,560 ",7.90%,1.949,"$204,159 ","$417,500 ",8.20%,79,17.2,1,141
242,Blairstown,Warren,"5,808","$6,909 ",-0.80%,2.35,"$121,932 ","$300,000 ",-1.30%,105,5.8,0.5,150
243,Nutley,Essex,"28,928","$11,175 ",4.80%,3.058,"$128,977 ","$390,000 ",7.10%,52,10.1,1.2,146
244,Matawan,Monmouth,"8,869","$9,153 ",5.60%,2.76,"$120,649 ","$350,000 ",-5.40%,55,4.3,0.2,130
245,Cape May,Cape May,"3,480","$5,978 ",12.70%,0.918,"$825,223 ","$520,000 ",15.60%,92,32.2,1.7,191
246,Maplewood,Essex,"24,847","$15,630 ",6.90%,3.011,"$160,554 ","$599,000 ",3.70%,32,14.6,1,88
247,Allentown,Monmouth,"1,811","$8,836 ",0.50%,2.944,"$110,890 ","$290,000 ",5.60%,72,6,0.5,124
248,Dunellen,Middlesex,"7,407","$8,709 ",8.50%,3.274,"$81,180 ","$285,000 ",7.50%,61,7.4,0,134
249,Hightstown,Mercer,"5,384","$8,855 ",1.80%,4.004,"$76,901 ","$227,750 ",32.00%,60,8.5,1.1,128
250,Wantage,Sussex,"10,934","$6,785 ",-2.80%,2.618,"$110,625 ","$251,500 ",3.30%,102,6.9,0.5,112
251,Mansfield Township,Burlington,"8,577","$7,792 ",0.60%,2.554,"$140,134 ","$224,500 ",-12.80%,61,10.3,0.6,110
252,Lincoln Park,Morris,"10,468","$8,602 ",3.90%,2.623,"$132,311 ","$325,000 ",1.40%,55,7.6,0.4,214
253,Byram,Sussex,"7,983","$9,048 ",3.60%,3.311,"$123,240 ","$298,500 ",12.60%,81,3.7,0.1,120
254,South Orange,Essex,"17,001","$18,354 ",4.40%,3.043,"$169,452 ","$650,000 ",6.40%,43,23.2,2.6,88
255,Sparta,Sussex,"18,807","$12,044 ",3.50%,3.101,"$166,204 ","$370,000 ",-2.00%,75,4.2,0.1,45
256,Sayreville,Middlesex,"45,325","$7,437 ",5.40%,2.505,"$103,088 ","$295,000 ",11.60%,61,9.1,0.7,215
257,Evesham,Burlington,"45,381","$7,454 ",4.20%,2.648,"$118,964 ","$264,000 ",3.50%,59,15.2,0.7,119
258,Hainesport,Burlington,"6,058","$6,637 ",4.00%,2.215,"$135,736 ","$293,750 ",3.10%,56,14.7,1.3,202
259,Union Beach,Monmouth,"5,562","$6,369 ",8.00%,2.624,"$102,498 ","$291,200 ",5.60%,79,7.5,0.4,141
260,New Brunswick,Middlesex,"57,073","$6,384 ",-7.10%,2.326,"$58,460 ","$310,000 ",10.70%,68,35.2,7.1,265
261,Guttenberg,Hudson,"11,695","$9,312 ",1.90%,2.801,"$88,028 ","$322,000 ",29.30%,56,8.7,1.2,299
262,North Bergen,Hudson,"63,659","$7,710 ",3.80%,2.346,"$94,970 ","$354,500 ",9.10%,63,11.3,1.7,299
263,Englishtown,Monmouth,"1,943","$7,272 ",10.50%,2.268,"$128,651 ","$225,000 ",5.60%,46,23,1,71
264,North Wildwood,Cape May,"3,843","$3,867 ",4.60%,1.248,"$680,805 ","$270,000 ",10.20%,103,50.2,1.8,179
265,Middle Township,Cape May,"18,427","$4,276 ",5.60%,1.81,"$144,135 ","$267,000 ",13.60%,79,28.8,2.7,166
266,Neptune,Monmouth,"27,844","$6,513 ",5.50%,1.972,"$143,244 ","$330,000 ",16.70%,57,39,5.7,288
267,South Harrison,Gloucester,"3,170","$9,348 ",3.40%,2.781,"$126,002 ","$357,500 ",2.10%,83,4.1,0,161
268,Folsom,Atlantic,"1,815","$3,968 ",5.30%,2.048,"$92,897 ","$198,450 ",5.60%,48,10.8,1.6,209
269,Victory Gardens,Morris,"1,516","$4,417 ",2.90%,2.533,"$48,071 ","$174,500 ",5.60%,57,13.1,2.6,199
270,Stillwater,Sussex,"3,920","$6,463 ",4.70%,2.768,"$115,144 ","$234,000 ",3.30%,92,4.8,0,108
271,South River,Middlesex,"16,349","$6,591 ",7.90%,2.38,"$84,688 ","$285,000 ",11.10%,59,9.3,0.9,257
272,Harmony Township,Warren,"2,520","$5,174 ",-0.10%,2.165,"$212,061 ","$247,450 ",1.00%,82,5.5,1.6,208
273,Kenilworth,Union,"8,312","$8,881 ",3.30%,2.82,"$173,413 ","$327,000 ",4.60%,46,20.6,0.7,222
274,Logan Township,Gloucester,"5,944","$4,470 ",-3.70%,2.253,"$216,564 ","$220,450 ",-3.30%,83,16.2,0.8,161
275,Carteret,Middlesex,"24,084","$6,573 ",0.40%,2.889,"$100,409 ","$275,000 ",21.20%,66,11.6,1.6,262
276,Allamuchy,Warren,"4,644","$6,790 ",0.80%,2.617,"$134,009 ","$225,000 ",-10.00%,68,3.1,0.4,193
277,Vernon,Sussex,"22,239","$5,798 ",1.40%,2.901,"$108,153 ","$205,000 ",4.30%,91,9.4,0.3,111
278,Aberdeen,Monmouth,"18,355","$7,514 ",6.50%,2.497,"$120,625 ","$297,750 ",-3.20%,49,8.9,1,141
279,Florence,Burlington,"12,669","$5,198 ",2.50%,2.338,"$98,352 ","$202,000 ",1.00%,76,8.2,1.5,195
280,Clinton,Hunterdon,"2,701","$10,160 ",3.10%,3.032,"$143,925 ","$302,500 ",5.60%,62,11.7,1.5,34
281,Spotswood,Middlesex,"8,456","$8,260 ",4.70%,3.02,"$93,524 ","$295,000 ",4.10%,58,7.9,0.9,136
282,Woodbridge,Middlesex,"101,965","$7,867 ",3.70%,2.967,"$107,117 ","$285,000 ",7.50%,59,18,1.1,178
283,Medford,Burlington,"23,496","$10,194 ",0.70%,2.835,"$140,540 ","$340,000 ",-1.40%,61,8.7,0.9,126
284,Cherry Hill,Camden,"71,479","$8,399 ",3.00%,3.448,"$117,016 ","$250,000 ",7.50%,56,28.6,1.3,105
285,Hawthorne,Passaic,"19,101","$10,654 ",3.10%,2.985,"$127,814 ","$359,950 ",5.10%,50,12.6,0.5,237
286,Hardwick,Warren,"1,643","$8,036 ",2.50%,2.733,"$112,991 ","$337,500 ",5.60%,108,4.8,0.6,150
287,Greenwich Township,Warren,"5,532","$8,795 ",1.90%,2.668,"$127,044 ","$369,950 ",2.80%,66,13.1,0.2,183
288,Little Ferry,Bergen,"11,000","$9,244 ",1.80%,3.317,"$94,778 ","$317,500 ",25.70%,71,7.8,0.9,248
289,Ringwood,Passaic,"12,454","$11,307 ",3.60%,3.308,"$134,075 ","$350,000 ",4.50%,53,5.3,0.3,137
290,Little Egg Harbor,Ocean,"21,177","$4,668 ",2.70%,2.29,"$110,311 ","$210,000 ",14.00%,93,15.1,1.6,168
291,Wildwood Crest,Cape May,"3,137","$4,795 ",5.10%,1.308,"$701,865 ","$352,500 ",1.80%,95,38.7,4.7,179
292,Lacey,Ocean,"28,819","$5,786 ",3.50%,2.122,"$131,234 ","$265,000 ",6.00%,74,14,0.7,218
293,Harrison,Gloucester,"13,015","$9,612 ",4.40%,2.813,"$117,492 ","$382,500 ",17.70%,98,7.7,0.6,129
294,Dennis Township,Cape May,"6,253","$3,043 ",7.40%,1.611,"$144,328 ","$253,375 ",5.00%,113,12.5,1.4,166
295,Union City,Hudson,"70,387","$7,934 ",3.40%,2.667,"$54,315 ","$349,000 ",26.90%,55,19.5,3.1,298
296,Milltown,Middlesex,"7,162","$9,316 ",7.40%,2.845,"$124,968 ","$332,500 ",2.80%,53,13.1,0.7,136
297,Helmetta,Middlesex,"2,223","$6,270 ",6.00%,2.714,"$94,332 ","$170,100 ",-22.70%,78,4.9,0,136
298,Harrison,Hudson,"17,643","$11,109 ",1.90%,2.619,"$74,931 ","$390,000 ",8.30%,39,25.6,2.6,273
299,Woodland Township,Burlington,"1,775","$5,833 ",6.70%,2.392,"$84,206 ","$238,450 ",5.60%,69,13.9,0.6,123
301,Pitman,Gloucester,"8,846","$7,165 ",3.40%,4.052,"$67,742 ","$196,000 ",9.70%,67,6.4,0.2,178
302,Long Branch,Monmouth,"30,762","$8,917 ",7.00%,1.959,"$158,150 ","$420,000 ",14.10%,57,27.9,3.5,269
303,Berkeley,Ocean,"41,747","$4,322 ",4.90%,2.033,"$129,988 ","$182,000 ",11.70%,76,11.9,1.4,213
304,Lakewood,Ocean,"102,682","$6,646 ",0.90%,1.944,"$96,917 ","$270,000 ",0.00%,75,11.3,1.7,294
305,Jefferson,Morris,"21,368","$8,127 ",4.00%,2.677,"$125,470 ","$305,250 ",2.10%,73,4.5,0.7,156
306,Lafayette,Sussex,"2,404","$8,194 ",-1.80%,2.58,"$140,503 ","$319,300 ",-3.20%,112,10.3,0.8,112
307,Washington Township,Gloucester,"47,848","$7,292 ",2.10%,3.205,"$95,846 ","$221,950 ",1.00%,26,19.2,1.1,138
308,Wanaque,Passaic,"11,994","$8,807 ",4.90%,3.31,"$106,967 ","$305,000 ",10.10%,63,7.6,0.6,137
309,Westampton,Burlington,"8,760","$5,740 ",4.10%,2.295,"$137,386 ","$240,000 ",1.30%,47,18.7,2.6,202
310,Mantua,Gloucester,"15,026","$6,824 ",3.30%,3.108,"$93,572 ","$193,200 ",5.60%,74,18.5,0.3,129
311,Tabernacle,Burlington,"6,882","$7,629 ",4.00%,2.65,"$104,764 ","$315,000 ",2.40%,82,5,1.2,123
312,South Bound Brook,Somerset,"4,657","$8,132 ",2.20%,3.207,"$72,392 ","$263,650 ",11.50%,54,9.5,1.3,270
313,Hackettstown,Warren,"9,554","$8,354 ",3.20%,3.066,"$103,830 ","$265,000 ",7.10%,53,10.8,0.8,193
314,Woodland Park,Passaic,"12,834","$10,910 ",4.80%,2.884,"$139,979 ","$405,000 ",9.50%,60,15.3,0.6,240
315,Little Falls,Passaic,"14,502","$9,689 ",2.20%,2.91,"$111,324 ","$325,000 ",4.80%,56,16.4,0.9,240
316,Bordentown Township,Burlington,"12,202","$7,687 ",4.00%,2.644,"$110,128 ","$267,500 ",8.10%,64,10.5,1.5,205
317,Linwood,Atlantic,"6,855","$10,165 ",2.00%,3.607,"$132,988 ","$222,750 ",9.50%,102,12.3,0,104
318,Haddon Township,Camden,"14,706","$8,202 ",4.10%,3.365,"$92,463 ","$225,000 ",-1.70%,49,28.1,1.2,82
319,Medford Lakes,Burlington,"4,013","$9,251 ",7.40%,3.088,"$116,681 ","$299,500 ",10.30%,61,9.3,0.7,113
320,Upper Pittsgrove,Salem,"3,360","$6,081 ",3.80%,2.75,"$93,338 ","$225,000 ",13.90%,64,13.7,1.5,170
321,Freehold Borough,Monmouth,"11,894","$6,882 ",4.80%,2.693,"$88,949 ","$257,500 ",2.00%,61,11.8,1.8,116
322,Boonton,Morris,"8,354","$10,617 ",7.40%,2.791,"$138,544 ","$390,000 ",9.90%,47,10.1,0.8,214
323,Green Township,Sussex,"3,486","$11,359 ",5.10%,3.333,"$132,832 ","$371,000 ",35.90%,99,2.9,0.3,159
324,Lower Alloways Creek,Salem,"1,688","$2,157 ",7.30%,1.184,"$170,282 ","$182,500 ",5.60%,106,5.3,1.2,225
325,Teaneck,Bergen,"41,311","$12,128 ",3.50%,2.855,"$136,057 ","$386,000 ",5.90%,65,12.1,1.8,186
326,Oxford Township,Warren,"2,454","$6,696 ",2.20%,3.612,"$70,765 ","$241,750 ",5.60%,74,6.5,0,167
327,Stanhope,Sussex,"3,341","$7,872 ",2.50%,3.832,"$95,437 ","$189,000 ",21.60%,67,10.9,1.2,120
328,Garfield,Bergen,"32,393","$8,031 ",5.50%,2.496,"$73,115 ","$340,750 ",3.90%,61,20.9,2.6,205
329,Pompton Lakes,Passaic,"11,206","$10,055 ",1.90%,3.718,"$104,491 ","$292,500 ",8.30%,67,9.3,0.9,162
330,South Hackensack,Bergen,"2,492","$9,537 ",5.00%,2.561,"$273,432 ","$460,000 ",5.60%,23,28.4,4.5,258
331,Hopatcong,Sussex,"14,298","$7,082 ",-0.20%,2.957,"$111,112 ","$230,000 ",10.00%,75,7.7,0.5,247
332,Burlington Township,Burlington,"22,824","$6,729 ",0.90%,2.789,"$104,537 ","$261,500 ",-1.30%,66,16.1,1.1,179
333,South Amboy,Middlesex,"8,857","$7,440 ",4.40%,2.773,"$99,912 ","$282,500 ",3.10%,72,11.2,0.5,216
334,Northfield,Atlantic,"8,360","$7,477 ",4.60%,3.384,"$109,030 ","$199,500 ",-7.20%,68,8.7,0.4,104
335,Ocean Gate,Ocean,"2,021","$5,069 ",2.90%,2.404,"$115,037 ","$200,000 ",5.60%,88,14.4,0.5,213
336,Union,Union,"59,327","$8,929 ",4.50%,3.12,"$108,062 ","$325,000 ",12.10%,54,18.5,1.1,235
337,Totowa,Passaic,"10,817","$9,444 ",1.50%,2.517,"$197,306 ","$365,000 ",2.80%,77,26.6,1.1,240
338,Dover,Morris,"18,232","$6,130 ",7.00%,2.432,"$74,212 ","$258,000 ",1.20%,55,14.3,1.9,199
339,Lopatcong,Warren,"8,348","$6,837 ",1.90%,2.937,"$105,141 ","$215,000 ",-4.00%,79,6.2,0.1,183
340,Barnegat,Ocean,"22,783","$6,519 ",4.30%,2.718,"$102,279 ","$253,000 ",10.00%,86,6.7,0.9,175
